artists,popularity,duration_ms,danceability,speechiness,acousticness,valence,tempo,track_genre
29664.0,20.0,226206.0,0.686,0.0374,0.0314,0.345,87.004,drum-and-bass
19800.0,51.0,167600.0,0.709,0.1,0.23,0.584,97.007,drum-and-bass
19366.0,46.0,268043.0,0.521,0.0709,0.0029,0.0391,184.018,drum-and-bass
20104.0,48.0,206010.0,0.416,0.1,0.0404,0.0613,172.028,drum-and-bass
29660.0,69.0,225172.0,0.516,0.0562,0.0228,0.0398,174.032,drum-and-bass
9941.0,58.0,250264.0,0.588,0.0525,0.00152,0.112,174.046,drum-and-bass
6204.0,65.0,192446.0,0.451,0.147,0.255,0.295,176.985,drum-and-bass
5114.0,61.0,205253.0,0.454,0.0498,0.0342,0.286,174.851,drum-and-bass
21290.0,50.0,209583.0,0.667,0.122,0.0333,0.59,75.028,drum-and-bass
12115.0,70.0,244235.0,0.352,0.0512,0.117,0.227,169.965,dub
12078.0,64.0,216668.0,0.643,0.0318,0.0128,0.442,144.033,dub
12090.0,0.0,167274.0,0.534,0.053,0.0698,0.576,155.002,dub
23801.0,67.0,256042.0,0.452,0.0344,0.0589,0.0832,149.586,dub
12058.0,61.0,222400.0,0.494,0.0384,0.0819,0.162,149.979,dub
12110.0,0.0,253983.0,0.404,0.0566,0.0243,0.159,154.858,dub
12115.0,0.0,244235.0,0.352,0.0512,0.117,0.227,169.965,dub
12127.0,62.0,165779.0,0.526,0.0437,0.0505,0.43,155.085,dub
12113.0,0.0,300916.0,0.428,0.163,0.00594,0.244,149.955,dub
23979.0,58.0,216125.0,0.4,0.0369,0.0789,0.211,159.909,dub
12115.0,70.0,244235.0,0.352,0.0512,0.117,0.227,169.965,dubstep
12078.0,64.0,216668.0,0.643,0.0318,0.0128,0.442,144.033,dubstep
12090.0,0.0,167274.0,0.534,0.053,0.0698,0.576,155.002,dubstep
12127.0,62.0,165779.0,0.526,0.0437,0.0505,0.43,155.085,dubstep
23801.0,67.0,256042.0,0.452,0.0344,0.0589,0.0832,149.586,dubstep
12110.0,0.0,253983.0,0.404,0.0566,0.0243,0.159,154.858,dubstep
12115.0,0.0,244235.0,0.352,0.0512,0.117,0.227,169.965,dubstep
12058.0,61.0,222400.0,0.494,0.0384,0.0819,0.162,149.979,dubstep
12113.0,0.0,300916.0,0.428,0.163,0.00594,0.244,149.955,dubstep
29568.0,73.0,267227.0,0.682,0.0688,0.261,0.112,127.526,dubstep
27069.0,84.0,244960.0,0.748,0.0338,0.414,0.661,95.01,edm
6362.0,84.0,205946.0,0.649,0.0349,0.0863,0.163,99.988,edm
8607.0,79.0,253520.0,0.489,0.0292,0.27,0.324,95.012,edm
6849.0,98.0,175238.0,0.561,0.0343,0.00383,0.304,128.04,edm
23076.0,68.0,181176.0,0.786,0.054,0.0112,0.688,102.046,edm
4771.0,73.0,207068.0,0.451,0.0398,0.287,0.423,174.122,edm
23076.0,67.0,180413.0,0.595,0.0474,0.000712,0.483,144.961,edm
30437.0,68.0,157245.0,0.889,0.0424,0.117,0.942,118.003,edm
23078.0,66.0,222096.0,0.678,0.0869,0.477,0.606,100.033,edm
17720.0,79.0,202620.0,0.626,0.0504,0.205,0.534,95.079,edm
27069.0,84.0,244960.0,0.748,0.0338,0.414,0.661,95.01,electro
13176.0,79.0,181613.0,0.795,0.0574,0.607,0.608,93.982,electro
6362.0,84.0,205946.0,0.649,0.0349,0.0863,0.163,99.988,electro
11302.0,78.0,201660.0,0.752,0.0705,0.297,0.533,136.041,electro
9231.0,66.0,216216.0,0.758,0.0428,0.0888,0.284,110.983,electro
11302.0,79.0,201660.0,0.752,0.0705,0.297,0.533,136.041,electro
8607.0,79.0,253520.0,0.489,0.0292,0.27,0.324,95.012,electro
18341.0,79.0,179867.0,0.68,0.0475,0.612,0.446,123.97,electro
30701.0,81.0,207026.0,0.718,0.0621,0.0764,0.455,144.678,electro
17723.0,83.0,214289.0,0.687,0.0452,0.191,0.671,100.015,electro
12582.0,78.0,295308.0,0.663,0.0687,0.312,0.553,86.986,electronic
6364.0,66.0,198285.0,0.784,0.0384,0.495,0.587,104.996,electronic
6352.0,76.0,220573.0,0.583,0.0423,0.0141,0.224,104.879,electronic
23480.0,66.0,133305.0,0.737,0.0317,0.601,0.456,89.993,electronic
6362.0,84.0,205946.0,0.649,0.0349,0.0863,0.163,99.988,electronic
9231.0,66.0,216216.0,0.758,0.0428,0.0888,0.284,110.983,electronic
16610.0,57.0,219260.0,0.685,0.238,0.314,0.0569,124.987,electronic
12582.0,76.0,242142.0,0.684,0.0634,0.216,0.768,104.647,electronic
22449.0,67.0,235413.0,0.676,0.0338,0.137,0.392,86.994,electronic
30405.0,47.0,180693.0,0.778,0.13,0.0456,0.362,86.49,electronic
29960.0,70.0,198902.0,0.703,0.0412,0.0302,0.288,104.969,emo
22297.0,68.0,236390.0,0.571,0.0305,0.615,0.342,78.025,emo
29974.0,83.0,146520.0,0.797,0.0412,0.0172,0.329,131.036,emo
29965.0,75.0,150475.0,0.8,0.0716,0.334,0.746,129.874,emo
29951.0,73.0,121671.0,0.835,0.155,0.513,0.702,78.99,emo
29951.0,84.0,119133.0,0.872,0.242,0.469,0.437,134.021,emo
15940.0,81.0,196400.0,0.669,0.0286,0.0175,0.273,120.013,emo
29951.0,87.0,120026.0,0.746,0.259,0.782,0.18,139.999,emo
29951.0,77.0,87560.0,0.433,0.041,0.843,0.764,114.208,emo
29951.0,85.0,95466.0,0.734,0.133,0.847,0.689,129.953,emo
24057.0,71.0,379768.0,0.586,0.0328,0.779,0.494,99.994,folk
14325.0,63.0,323520.0,0.447,0.0332,0.324,0.434,80.044,folk
9240.0,70.0,287573.0,0.78,0.0851,0.455,0.788,124.007,folk
21810.0,70.0,197549.0,0.558,0.0256,0.0285,0.444,107.047,folk
21810.0,61.0,281218.0,0.509,0.0262,0.309,0.283,146.031,folk
16256.0,83.0,208211.0,0.544,0.038,0.969,0.102,87.01,folk
21810.0,56.0,216885.0,0.362,0.0589,0.015,0.431,187.291,folk
14317.0,32.0,270324.0,0.378,0.223,0.777,0.848,90.836,folk
565.0,54.0,86206.0,0.516,0.0249,0.00411,0.454,87.045,folk
21601.0,67.0,295866.0,0.693,0.248,0.555,0.282,125.025,folk
14681.0,50.0,179748.0,0.677,0.141,0.616,0.782,127.651,forro
