explicit,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,track_genre
0.0,0.649,0.716,0.0349,0.0863,2.63e-05,0.135,0.163,4.0,32
0.0,0.758,0.573,0.0428,0.0888,0.000677,0.0834,0.284,4.0,32
0.0,0.685,0.496,0.238,0.314,0.804,0.138,0.0569,4.0,32
0.0,0.684,0.605,0.0634,0.216,0.941,0.103,0.768,4.0,32
0.0,0.676,0.774,0.0338,0.137,0.0,0.106,0.392,4.0,32
0.0,0.778,0.53,0.13,0.0456,0.916,0.155,0.362,4.0,32
1.0,0.703,0.723,0.0412,0.0302,2.06e-06,0.126,0.288,4.0,33
0.0,0.571,0.415,0.0305,0.615,0.0,0.187,0.342,4.0,33
1.0,0.797,0.533,0.0412,0.0172,0.000152,0.103,0.329,4.0,33
1.0,0.8,0.526,0.0716,0.334,0.00174,0.0571,0.746,4.0,33
1.0,0.835,0.462,0.155,0.513,0.0,0.0875,0.702,4.0,33
1.0,0.872,0.391,0.242,0.469,4.13e-06,0.297,0.437,4.0,33
1.0,0.669,0.574,0.0286,0.0175,0.00294,0.146,0.273,4.0,33
1.0,0.746,0.251,0.259,0.782,0.00203,0.106,0.18,4.0,33
1.0,0.433,0.778,0.041,0.843,0.0,0.139,0.764,4.0,33
1.0,0.734,0.57,0.133,0.847,2.14e-05,0.112,0.689,4.0,33
